type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-11-14 16:39:04,42.20671492,-71.12114799,1.79,40.229,,0.072,104,22,22,20231114-113904,GPS Logger: 20231114-113904 - Bradley
T,2023-11-14 16:39:05,42.20671665,-71.12115041,1.73,40.463,,0.151,104,22,22,,
T,2023-11-14 16:39:06,42.20671805,-71.12115193,1.70,40.780,,0.149,104,22,22,,
T,2023-11-14 16:39:07,42.20671833,-71.12115217,1.67,41.111,,0.123,104,21,22,,
T,2023-11-14 16:39:08,42.20671815,-71.12115353,1.67,41.354,,0.177,104,21,22,,
T,2023-11-14 16:39:09,42.20671827,-71.12115412,1.65,41.850,,0.191,104,21,22,,
T,2023-11-14 16:39:10,42.20671725,-71.12115301,1.62,42.293,,0.158,104,22,22,,
T,2023-11-14 16:39:11,42.20671836,-71.12115147,1.62,42.432,,0.052,104,22,22,,
T,2023-11-14 16:39:12,42.20671803,-71.12115117,1.72,42.222,,0.001,104,22,22,,
T,2023-11-14 16:39:13,42.20671906,-71.12114981,1.67,42.683,,0.019,104,22,22,,
T,2023-11-14 16:39:14,42.20671976,-71.12114872,1.65,42.906,,0.021,104,20,22,,
T,2023-11-14 16:39:15,42.20671948,-71.12114776,1.61,43.271,,0.043,104,22,22,,
T,2023-11-14 16:39:16,42.20671934,-71.12114866,1.60,43.634,,0.072,104,19,22,,
T,2023-11-14 16:39:17,42.20671912,-71.12114955,1.59,44.020,,0.113,104,21,22,,
T,2023-11-14 16:39:18,42.20671951,-71.12115133,1.58,44.220,,0.122,104,19,22,,
T,2023-11-14 16:39:19,42.20672005,-71.12115001,1.70,43.897,,0.003,104,20,22,,
T,2023-11-14 16:39:20,42.20672018,-71.12115002,1.81,43.726,,0.002,104,19,22,,
T,2023-11-14 16:39:21,42.20672025,-71.12114997,1.92,43.591,,0.002,104,19,22,,
T,2023-11-14 16:39:22,42.20672028,-71.12114993,2.02,43.487,,0.001,104,20,22,,
T,2023-11-14 16:39:23,42.20672030,-71.12114991,2.12,43.395,,0.001,104,20,22,,
T,2023-11-14 16:39:24,42.20671964,-71.12115139,1.93,43.946,,0.014,104,20,22,,
T,2023-11-14 16:39:25,42.20671902,-71.12115283,1.82,44.296,,0.283,104,20,22,,
T,2023-11-14 16:39:26,42.20671778,-71.12114867,1.76,44.422,,0.984,104,20,22,,
T,2023-11-14 16:39:27,42.20671285,-71.12112867,1.73,44.560,,2.628,102,20,22,,
T,2023-11-14 16:39:28,42.20670306,-71.12108804,1.69,44.593,,4.217,101,20,22,,
T,2023-11-14 16:39:29,42.20668982,-71.12102630,1.66,44.388,,5.743,101,21,22,,
T,2023-11-14 16:39:30,42.20667646,-71.12094814,1.64,44.089,,7.008,101,21,22,,
T,2023-11-14 16:39:31,42.20666331,-71.12085473,1.65,43.908,,8.223,102,21,22,,
T,2023-11-14 16:39:32,42.20664365,-71.12074653,1.68,43.400,,9.325,104,20,22,,
T,2023-11-14 16:39:33,42.20662040,-71.12063101,1.70,42.874,,10.193,105,19,22,,
T,2023-11-14 16:39:34,42.20659076,-71.12050355,1.73,42.512,,10.964,107,18,22,,
T,2023-11-14 16:39:35,42.20655545,-71.12037081,1.75,42.221,,11.341,109,19,22,,
T,2023-11-14 16:39:36,42.20651888,-71.12024200,1.74,41.790,,10.975,110,19,21,,
T,2023-11-14 16:39:37,42.20648387,-71.12012034,1.71,41.474,,10.126,110,19,21,,
T,2023-11-14 16:39:38,42.20645242,-71.12000908,1.70,41.040,,9.157,111,18,21,,
T,2023-11-14 16:39:39,42.20642507,-71.11991355,1.70,40.447,,7.650,112,19,21,,
T,2023-11-14 16:39:40,42.20640176,-71.11984123,1.70,39.919,,5.623,115,20,21,,
T,2023-11-14 16:39:41,42.20638301,-71.11979579,1.72,39.463,,3.280,118,19,21,,
